id-snippet	n-sentences	n-words	n-nouns	n-adj	n-verbs	n-entities	n-vague	n-concrete	n-conditionals	
hjres2-108.34	3	147	79	20	12	9	2	0	2	(Sec. 517) Prohibits the availability of assistance for the Independent States of the former Soviet Union to a government of such an Independent State: (1) unless it is making progress in implementing comprehensive economic reforms based on market principles, private ownership, respect for commercial contracts, and equitable treatment of foreign private investment; (2) if it applies or transfers U.S. assistance to any entity for the purpose of expropriating or seizing ownership of assets, investments, or ventures (unless the President determines such assistance is in the national interest); (3) if it directs action in violation of the territorial integrity or national sovereignty of any other Independent State of the former Soviet Union; or (4) to enhance its military capability (except for demilitarization, demining, or nonproliferation programs). Subjects such assistance for the Russian Federation, Armenia, Georgia, and the Ukraine to the regular notification procedures of the Committees on Appropriations.
hjres2-108.35	4	70	40	10	7	8	0	0	0	(Sec. 560) Directs the Secretary of the Treasury to instruct the U.S. executive directors of international financial institutions to oppose loans to the Central Government of Cambodia (except loans to support basic human needs). Prohibits the availability of funds under this Act for assistance for the Central Government of Cambodia, with specified exceptions. Makes ESF assistance available for activities to support democracy (including assistance for democratic political parties) in Cambodia.
hjres2-108.36	2	36	18	6	4	2	1	1	2	(Sec. 573) Directs the Secretary of the Treasury to withhold ten percent of the U.S. payment to any international financial institution until the Secretary certifies that such institution has implemented certain procurement and financial management reforms.
hjres2-108.37	2	63	40	2	5	8	0	0	2	(Sec. 574) Makes funds appropriated by this Act available for assistance for the Government of Uzbekistan only if the Secretary of State determines and reports to the Committees on Appropriations that it is making substantial and continuing progress in meeting its commitments under the "Declaration on the Strategic Partnership and Cooperation Framework Between the Republic of Uzbekistan and the United States of America.
hjres2-108.38	4	98	54	7	12	3	2	0	2	(Sec. 518) Prohibits the use of development assistance funds for abortions or involuntary sterilizations as methods of family planning, to motivate or coerce any person to practice abortions, or to provide any financial incentive to undergo sterilization."Makes funds appropriated by this Act available to the Government of Kazakhstan only if the Secretary of State determines and reports to the Committees on Appropriations that it has made significant improvements in the protection of human rights during the preceding six months. Authorizes the Secretary to waive such requirement if it is in the national security interest of the United States.
hjres2-108.39	1	28	22	0	1	6	1	0	0	Bars the use of development assistance funds for any activity which is in contravention of the Convention on International Trade in Endangered Species of Flora and Fauna (CITES).
hr3610-104.1	3	145	78	14	19	8	2	1	4	(Sec. 609) Prohibits the use of funds from this Act, unless certain conditions are met, to pay for costs incurred for: (1) opening or operating any U.S. diplomatic or consular post in the Socialist Republic of Vietnam that was not operating on July 11, 1995; (2) expanding any such post that was in operation on such date; or (3) increasing the number of personnel assigned to such posts above the level existing on such date. Allows the use of such funds for such purposes only if the President certifies that the Vietnamese Government is fully cooperating with the United States in specified activities relating to the investigation and recovery of missing U.S. military personnel, including: (1) resolution of discrepancy cases, live-sightings, and field activities; (2) recovery and repatriation of American remains; (3) provision of documents on POW-MIAs; and (4) implementation of trilateral investigations with Laos.
hr3610-104.2	2	58	30	5	8	4	2	0	0	(Sec. 610) Prohibits the use of funds under this Act for any United Nations peacekeeping mission involving U.S. forces under the command or control of a foreign national, if the President's military advisors have not recommended that such involvement is in the U.S. national security interest, and the President has not submitted such a recommendation to the Congress.
hr3610-104.3	2	134	75	12	8	6	1	0	2	(Sec. 8055) Prohibits the use of funds: (1) for the modification of an aircraft, weapon, ship, or other equipment that the military department concerned plans to retire or otherwise dispose of within five years after completion of the modification; (2) by a DOD entity without compliance with the Buy American Act; (3) for the design, development, acquisition, or operation of more than 47 Titan IV expendable launch vehicles; (4) for assistance to or programs in the Democratic People's Republic of North Korea unless specifically appropriated for such purpose; (5) to reduce the civilian medical and medical support personnel assigned to military treatment facilities below the September 30, 1996 level; and (6) to transport chemical munitions to the Johnston Atoll for storage or demilitarization (with an exception and an authorized wartime waiver by the President).
hr3610-104.4	1	27	20	1	0	8	0	0	0	Title II: Bilateral Economic Assistance - Makes appropriations for FY 1997 for: (15) Economic Support Fund (ESF) assistance (but not for Zaire); (16) the International Fund for Ireland;
hr3610-104.5	1	31	19	3	0	4	0	0	0	(17) economic assistance for Eastern Europe, the Baltic States, and the independent states of the former Soviet Union; (18) the Peace Corps (but with a ban on fund use for abortions);
hr3610-104.6	1	26	16	4	0	5	0	0	0	Title III: Military Assistance - Makes appropriations for FY 1997 for: (1) international military education and training (with a ban on such assistance to Zaire and Guatemala);
hr3610-104.7	1	38	25	4	1	11	1	0	0	Prohibits foreign military financing for: (1) any non-North Atlantic Treaty Organization (NATO) country participating in the Partnership for Peace Program except through the regular notification procedures of the Committees on Appropriations; and (2) Zaire, Sudan, Liberia, and Guatemala.
hr3610-104.8	2	94	52	10	9	15	1	2	0	Title V: General Provisions - Sets forth limits on the use of appropriations identical or very similar to restrictions enacted in the Foreign Operations, Export Financing, and Related Programs Appropriations Act, 1996 (P.L. 104-107), notably with respect to: (1) countries supporting the Arab boycott of Israel, Cuba, Iraq, Iran, Liberia, Montenegro, the Palestine Liberation Organization, Serbia, terrorist countries or countries supporting terrorism or giving sanctuary to war criminals; and (2) financial incentives to induce a business to relocate outside the United States or assistance to develop certain kinds of export processing zones in foreign countries.
hr3610-104.9	2	36	28	1	1	11	1	0	0	(Sec. 520) Prohibits the use of funds for Colombia, Guatemala (except for development assistance), the Dominican Republic, Haiti, Liberia, Pakistan, Peru, Serbia, Sudan, or Zaire, except through the regular notification procedures of the Committees on Appropriations.
hr3610-104.10	2	44	20	4	6	3	0	1	2	(Sec. 567) Waives certain restrictions and authorizes the availability of funds for the Guatemalan military forces only if the President certifies to the Congress that the Guatemalan military is cooperating fully with efforts to resolve human rights abuses and to negotiate a peace settlement.
hr3610-104.11	2	27	14	3	5	3	0	1	2	(Sec. 570) Imposes certain economic sanctions against Burma until the President certifies to the Congress that Burma has made progress in improving human rights and implementing democracy.
hr3610-104.12	2	69	31	10	9	2	2	0	0	(Sec. 579) Requires the Secretary of the Treasury to instruct the U.S. Executive Director of each international financial institution to vote against any loan or other use of the institution's funds, other than to address basic human needs, for the government of any country with a known history of female genital mutilation which has not made the practice illegal or taken steps to implement educational programs to prevent it.
hr3610-104.13	2	48	27	5	3	6	0	0	0	(Sec. 580) Requires the Secretary of State's annual report to the Congress on voting practices at the UN to include a side-by-side comparison of individual countries' overall support for the United States at the UN and the amount of U.S. assistance provided to such country in FY 1996.
hr3610-104.14	2	42	20	1	5	5	1	0	2	(Sec. 581) Prohibits the use of funds under this Act to pay any voluntary U.S. contribution to the UN unless the President certifies to the Congress that the UN is not making any effort to impose any taxation on any U.S. persons.
hr3610-104.15	2	25	14	3	2	3	0	1	0	(Sec. 585) Directs the Secretary of State to report to the Committee on Appropriations about certain military activities of the Democratic People's Republic of Korea.
hr3610-104.16	2	41	24	2	4	4	0	0	1	(Sec. 587) Withholds specified funds from Mexico until the President reports to the Congress that Mexico is taking action to reduce the flow of illegal drugs to the United States as well as enforce its laws against narcotic trafficking and money-laundering.
hr3610-104.17	2	53	25	5	5	5	1	1	0	(Sec. 611) Amends the NATO Participation Act of 1994 to establish a presidential and congressional procedure for termination of eligibility for assistance for Partnership for Peace countries which: (1) no longer meet certain eligibility criteria; (2) are hostile to the NATO alliance; or (3) pose a national security threat to the United States.
hr4775-107.1	6	270	144	26	30	19	3	2	1	Title II: American Servicemembers' Protection Act - American Servicemembers' Protection Act of 2002 - Prohibits U.S. cooperation with the International Criminal Court. Specifies restrictions on: (1) participation by covered U.S. persons in United Nations (UN) peacekeeping and peace enforcement operations; (2) transfer to the Court of U.S. classified national security and law enforcement information; and (3) the provision of U.S. military assistance, with specified exceptions, to the government of a country that is a party to the Court.(Sec. 2003) Prescribes conditions for a presidential waiver of the prohibitions and requirements of this Act.(Sec. 2004) Declares that the requirements of this Act shall not prohibit: (1) any action authorized by the President to bring about the release from captivity of any U.S. military personnel (covered U.S. persons) and certain other persons (covered allied persons) who are being detained or imprisoned against their will by or on behalf of the Court; or (2) communication by the United States of its policy with respect to a matter. Authorizes the President to use all means necessary (including the provision of legal assistance) to bring about the release of covered U.S. persons and covered allied persons held captive by, on behalf, or at the request of the Court.(Sec. 2009) Urges the President to report to appropriate congressional committees on the degree to which: (1) each military alliance to which the United States is a party may place U.S. armed forces under foreign control subject to the Court's jurisdiction; and (2) U.S. armed forces engaged in military operations pursuant to such alliance may be exposed to greater risks as a result of being placed under such foreign control.
hr4775-107.2	5	141	75	17	23	9	2	1	0	(Sec. 601) Makes specified funds appropriated by this and other Acts available to support the Colombian Government's unified campaign against narcotics trafficking and certain terrorist organizations, subject to reports by the Secretary to Congress that the President of Colombia has committed, in writing, to comprehensive policies to combat illicit drug cultivation and trafficking, reform the Colombian Armed Forces, and commit sufficient resources to fulfill the country's previous commitments under "Plan Colombia." Terminates funding if the Secretary has credible evidence that vigorous efforts are not being made to restore government authority and human rights in guerilla-controlled areas. Prohibits U.S. contractors or armed forces from participating in any combat operations.(Sec. 305) Permits the use of DOD funds available for assistance to Colombia to be used to combat narcotics trafficking and terrorist organization activity as well as emergency rescue and health and welfare actions.
hr4775-107.3	1	36	18	5	4	3	0	0	1	(302) Authorizes the President to continue to provide assistance to Russia under cooperative threat reduction programs and the Freedom Support Act under an alternative certification requirement if such assistance is vital to U.S. national security interests
hr2494-101.1	4	146	78	12	16	14	2	0	2	Prohibits the Bank from providing any export financing, loans, or financial services to China. Waives such prohibitions with respect to food or agricultural commodities. Authorizes the President to waive such prohibitions if he reports to the Congress that: (1) the Chinese Government has made progress on a program of political reform in China and Tibet; or (2) it is in the U.S. national interest to terminate such suspension. Expresses the sense of the Congress that the President should: (1) instruct the U.S. Executive Directors of the World Bank and the Asian Development Bank to oppose the extension of any financial or technical assistance to China; and (2) consider China to be a country engaging in gross violations of human rights for purposes of the International Financial Institutions Act until the President determines that the repression and reprisals against persons in connection with prodemocracy demonstrations has ended.
hr2494-101.2	1	89	44	11	14	5	2	1	2	Prohibits the Bank from guaranteeing, insuring, or extending credit in connection with the exports of goods (other than food or agricultural commodities) or services to Angola until the President certifies to the Congress that free and fair elections have been held in Angola and that the Angolan Government: (1) is seeking to achieve an equitable political settlement of conflict through a mutual cease-fire and a dialogue with opposition armed forces; and (2) has demonstrated progress in protecting human and worker rights and other attributes of political pluralism and democracy.
hr2494-101.3	1	72	40	10	7	6	1	1	2	Expresses the sense of the Congress that the Secretary should instruct certain multilateral lending institutions to: (1) act promptly upon requests by Poland for the establishment of financial institutions and businesses involved in credit and financial services in Poland; and (2) propose that such institutions prohibit financial assistance or debt forgiveness to Poland until the Polish Government allows privately owned entities in foreign countries to invest in private commercial ventures in Poland.
hr5006-102.1	5	127	76	7	11	12	1	0	2	Declares that the President should encourage countries that conduct trade with Cuba to restrict their trade and credit regulations with Cuba in a manner consistent with this Act. Authorizes the President to impose the following sanctions against countries that provide assistance to Cuba: (1) ineligibility for assistance under the Foreign Assistance Act of 1961 or the Arms Export Control Act; and (2) ineligibility for forgiveness or reduction of debt owed to the U.S. Government. Terminates such sanctions if the President reports to the Congress that Cuba has met conditions established under this Act concerning democracy, human rights, and a free market economy. Prohibits restrictions on the export to Cuba of medicines, subject to specified conditions and inspection requirements. Permits telecommunications services between the United States and Cuba.
hr5006-102.2	11	465	238	49	43	25	2	3	0	Title XVI: Iran-Iraq Arms Non-Proliferation Act of 1992 - Iran-Iraq Arms Non-Proliferation Act of 1992 - States that it shall be U.S. policy to oppose, and urgently seek the agreement of other nations to oppose, the transfer to Iran or Iraq of goods or technology, including dual-use goods or technology, whenever such transfer could contribute to either country's acquiring chemical, biological, nuclear, or destabilizing numbers and types of advanced conventional weapons. Directs the President to apply to Iran and Iraq, as well as countries assisting them in acquiring weapons of mass destruction, all of the applicable sanctions and controls available to the United States under all applicable Acts, laws, and statutes regarding the non-proliferation of weapons of mass destruction and the means of their delivery. Directs the President to: (1) urgently seek the agreement of other nations to adopt and institute such sanctions and controls as are comparable to those of the United States; and (2) identify publicly any country or person that transfers goods or technology to Iran or Iraq in a manner contrary to stated policy. Provides that sanctions against Iraq under the Iraq Sanctions Act of 1990 shall apply to Iran in the same manner. Prohibits, for two years, U.S. procurement of goods from, and approval of export licenses for, any person transferring goods or technology so as to contribute to Iran or Iraq's acquisition of destabilizing numbers and types of advanced conventional weapons. Authorizes the President, for any period of time, to prohibit the importation of any articles which are the product, manufacture, or growth of the sanctioned person. Provides identical mandatory and discretionary sanctions against the government of any foreign country that transfers goods or technology to contribute to Iran or Iraq's acquisition of destabilizing numbers and types of advanced conventional weapons. Imposes the following mandatory sanctions against foreign country violators: (1) suspension of U.S. assistance for one year; (2) opposition to the extension of financial or technical assistance by international financial institutions for one year; (3) suspension for one year of U.S. obligations under any memorandum of understanding for the codevelopment or coproduction of items on the U.S. Munitions List; (4) suspension for one year of any technical exchange agreement involving military and dual-use technology; and (5) prohibition for one year of exportation to such country of any item on the U.S. Authorizes the President to impose the following discretionary sanctions with respect to foreign governments: (1) suspension of most-favored nation status; and (2) prohibition on transactions involving property in which the sanctioned country has an interest (except for urgent humanitarian assistance). Waives any sanction under this Act if the President reports to the appropriate congressional committees that such sanction would jeopardize national security interests. Requires the President to report annually to such committees on any transfers made and sanctions taken.
hr5006-102.3	11	461	229	48	69	37	2	5	1	Title XVII: Cuban Democracy Act of 1992 - Cuban Democracy Act of 1992 - Sets forth U.S. policy with respect to Cuba. Prohibits: (1) vessels carrying goods or passengers to or from Cuba or carrying goods in which a Cuban national has an interest from entering a U.S. port, except as authorized by the Secretary of the Treasury; and (2) specified commodities authorized to be exported under a general license from being exported under such a license to any such vessels. Directs the President to establish strict limits on remittances to Cuba by U.S. persons for purposes of financing the travel of Cubans to the United States to assure that such remittances are not used by the Cuban Government as a means of gaining access to U.S. currency. Declares that food, medicine, and medical supplies for humanitarian purposes should be made available to Cuba under the Foreign Assistance Act of 1961 and the Agricultural Trade Development and Assistance Act of 1954 if the President certifies to the House Foreign Affairs Committee and the Senate Foreign Relations Committee that the Government of Cuba: (1) has made a commitment to hold free and fair elections for a new government within six months and is proceeding to implement that decision; (2) has made a commitment to respect and is respecting human rights and basic democratic freedoms; and (3) is not providing weapons or funds to any group in any other country that seeks the violent overthrow of the government of such country. Waives sanctions against Cuba under this Act if the President reports to the Congress that Cuba: (1) has held free and fair elections conducted under internationally recognized observers; (2) has permitted opposition parties ample time to campaign for such elections and has permitted full access to the media to all candidates; (3) is showing respect for basic civil liberties and human rights; (4) is moving toward establishing a free market economic system; and (5) has committed itself to constitutional change that would ensure regular free and fair elections. Requires the President, if he makes such report, to take the following actions with respect to a freely-elected Cuban Government: (1) encourage the admission of such government to international organizations and financial institutions; (2) provide emergency relief during Cuba's transition to a viable economic system; and (3) take steps to end the U.S. trade embargo of Cuba. Requires the U.S. Postal Service to provide direct mail service to and from Cuba. Authorizes the President to provide assistance to promote nonviolent democratic change in Cuba. Prohibits the issuance of licenses for certain transactions between U.S.-controlled firms in third countries and Cuba. Prohibits vessels which enter Cuba to engage in trade from loading or unloading any freight in the United States within 180 days after departure from Cuba.
hr5006-102.4	3	71	35	12	8	3	2	0	2	Prohibits any DOD prime contract in excess of the small purchase threshold from being awarded to any foreign person, company, or entity unless such entity certifies to the Secretary that it does not comply with the secondary Arab boycott of Israel. Authorizes the Secretary to waive such prohibition in specific instances when necessary for national security, requiring notice to the Congress of each such waiver. Provides other exceptions to such prohibition.
hr5006-102.5	2	48	26	6	7	1	0	2	1	Prohibits the Secretary from procuring a sonobuoy in a foreign country unless U.S. firms that manufacture sonobuoys are permitted to compete on an equal basis with foreign manufacturing firms for the sale of such buoys in that foreign country. Provides a waiver in the interest of national security.
hr5006-102.6	3	105	54	12	12	5	2	0	2	Subtitle B: Findings and Program Authority - Authorizes the President to establish and conduct programs to assist in the demilitarization of the independent states of the former Soviet Union. States that such programs shall include the transportation, storage, safeguarding, and destruction of weapons of mass destruction, as well as the conversion of weapons-related scientific expertise, technologies, and capabilities into appropriate civilian activities. Prohibits any such U.S. assistance unless the President certifies annually to the Congress that the recipient country is committed to destroying its weapons of mass destruction, forgoing any nuclear weapons or military modernization programs, and facilitating U.S. verification of any weapons destruction carried out.
hr5368-102.1	2	105	54	7	13	10	2	0	2	Prohibits the use of funds appropriated by this Act to provide assistance to any country that is not in compliance with the United Nations Security Council sanctions against Iraq unless the President certifies to the Congress that such assistance: (1) is in the U.S. national interest; (2) will directly benefit the needy people in such country; or (3) will be humanitarian assistance for foreign nationals who have fled Iraq and Kuwait. Authorizes the President to prohibit the importation into the United States of products of any foreign country that has not prohibited the importation of Iraqi products and the export of its products to Iraq.
hr5368-102.2	2	60	33	3	9	5	0	0	0	Authorizes the President to direct the drawdown of defense articles and services and military education and training for Cambodia and Laos to support efforts to locate and repatriate members of the U.S. armed forces and civilians employed by the U.S. Government who remain unaccounted for from the Vietnam War and to support humanitarian projects associated with POW/MIA efforts. Authorizes appropriations.
hr5368-102.3	1	13	10	2	0	8	0	0	0	Prohibits foreign military financing for Zaire, Sudan, Liberia, Somalia, Guatemala, Peru, and Malawi.
hr5368-102.4	2	103	63	10	6	8	1	0	0	Limits: (1) the amount of foreign military financing for the procurement of defense articles and services not sold by the U.S. Government for countries other than Israel and Egypt; (2) the amount of funds for administering military assistance and sales; (3) foreign military financing for Greece, Turkey, and Portugal; and (4) obligations with respect to the Special Defense Acquisition Fund. Permits the procurement of defense articles and services or design and construction services not sold by the U.S. Government only by countries for which assistance was justified for the foreign military financing program in the FY 1989 congressional presentation for security assistance programs.
hr5368-102.5	2	19	9	4	3	1	0	0	0	Provides for U.S. opposition to assistance to terrorist countries by international financial institutions. Prohibits bilateral assistance to such countries.
hr5368-102.6	1	28	12	2	3	5	0	0	0	Expresses the sense of the Congress that the President should instruct the U.S. representatives to the IMF and World Bank to provide financial and technical assistance to Armenia.
hr5368-102.7	2	63	32	6	11	5	1	0	1	Directs the President to report to the appropriate congressional committees that the United States has entered into serious discussions with Russia to reduce exports of conventional weapons to Iran and to prevent sales to Iran of destabilizing numbers and types of such weapons. Prohibits assistance to Russia under this Act unless the report has been made or it is in the national interest.
hr5368-102.8	1	49	23	5	6	3	0	0	1	Authorizes the President to transfer a specified dollar amount of defense articles to Bosnia Herzegovina if he certifies to the Congress that: (1) such articles would assist that nation in self-defense and promote security and stability; and (2) U.S. allies are prepared to join in a military assistance effort.
hr5368-102.9	5	218	128	20	27	10	3	0	2	Authorizes development and ESF assistance for Guatemala for FY 1993 to be: (1) provided to and used only by civilian government agencies and nongovernmental organizations; (2) used for costs of retraining, relocation, and reemployment in civilian pursuits of former combatants and noncombatants affected by the conflict in Guatemala; and (3) used for costs of monitoring activities associated with specified peace accords. Requires such assistance to be targeted for assistance for programs that address poverty, basic needs, and environmental concerns; to improve the performance of democratic institutions or to promote pluralism; for the National Reconciliation Commission; for fiscal reform and administration; or for programs that promote trade and investment. Prohibits the use of such assistance for partisan political purposes or as an instrument of counterinsurgency. Releases funds for retraining, relocation, and reemployment of individuals affected by the conflict and for the monitoring of peace accords only upon notification by the President to the appropriate congressional committees that the Guatemalan Government and representatives of the Guatemalan National Revolutionary Unity (URNG) have signed an agreement providing for a lasting peace agreement. Directs the President, prior to submitting any notification for assistance for Guatemala in FY 1993, to take into consideration Guatemala's progress toward eliminating human rights violations and in investigating and bringing to trial those responsible for major human rights cases.
hr5368-102.10	1	72	42	4	9	10	2	0	2	Prohibits any funds made available by this Act to carry out the Foreign Assistance Act of 1961 or the Arms Export Control Act to be made available for Jordan unless the President certifies to the Congress that: (1) Jordan has taken steps to advance the peace process in the Middle East; (2) Jordan is in compliance with United Nations sanctions against Iraq; and (3) such assistance is in the U.S. national interest.
hr5368-102.11	1	52	31	3	4	12	2	0	2	Prohibits making any of the funds appropriated under this Act available to finance indirectly any assistance or reparations to Cuba, Iraq, Libya, Vietnam, Iran, Syria, North Korea, China, Laos, Jordan, or Yemen unless the President certifies that the withholding of these funds is contrary to the national interest of the United States.
hr5368-102.12	3	53	35	6	4	2	0	0	0	Amends the Arms Export Control Act to extend waiver authority with respect to reciprocal leasing agreements through FY 1993. Requires delivery of defense equipment (permitted under special authority during unforeseen emergencies) within 120 days of congressional notification. Sets forth additional notification requirements with respect to the transfer of excess defense equipment to NATO.
hr5368-102.13	2	81	36	11	11	6	0	2	0	Sets forth exceptions to such requirement. Expresses the sense of the Congress that: (1) the Arab League countries should renounce the primary boycott of Israel and the secondary and tertiary boycotts of American firms that have commercial ties with Israel; and (2) the President should take certain steps to renounce such boycotts, consider a country's participation in such boycotts when determining whether to sell weapons to the country, and encourage U.S. trading partners to prohibit businesses from complying with such boycotts.
hr5368-102.14	1	137	75	7	21	6	3	0	2	Prohibits funds appropriated by this Act to be obligated or expended to provide: (1) any financial incentive to a business enterprise currently located in the United States for purposes of inducing such enterprise to relocate outside the United States if such incentive is likely to reduce the number of employees in the United States because U.S. production is being replaced by the enterprise outside the United States; (2) assistance for developing any export processing zone or area in a foreign country in which the tax, tariff, labor, environment, and safety laws of that country do not apply to activities in the zone unless the President certifies that such assistance is not likely to cause a loss of jobs within the United States; or (3) assistance for any project that contributes to violations of internationally recognized workers' rights.
hr5368-102.15	2	65	34	11	10	4	1	0	1	Directs the President to report to the Congress when such equipment is used for such purposes. Permits the commercial leasing of defense articles (other than major defense equipment) by Israel, Egypt, NATO countries, and major non-NATO allies if the President determines that there are compelling foreign policy or national security reasons for those defense articles being provided by commercial lease rather than by government-to-government sale.
hr5368-102.16	3	91	50	8	5	10	1	0	1	Earmarks ESF and development assistance available for humanitarian and development assistance for Cambodian civilians. Terminates assistance to any Cambodian organization that is cooperating with the Khmer Rouge in their military operations. Requires the President to: (1) conduct an onsite assessment within Cambodia to determine the requirements for the development of infrastructure and for the eradication of explosive mines; and (2) report to the Speaker of the House and the President of the Senate on violations of the United Nations peace agreement by the Khmer Rouge and U.S. responses to such violations.
hr5368-102.17	1	34	21	3	3	6	0	0	1	Expresses the sense of the Congress that the recommended levels of ESF assistance for Egypt and Israel are based on their continued participation in the Camp David Accords and upon the Egyptian-Israeli peace treaty.
hr5368-102.18	1	5	4	0	0	2	0	0	0	Prohibits ESF assistance to Zaire.
hr5368-102.19	1	13	10	0	2	2	0	0	0	Limits the amount of ESF assistance for tied aid credits and for Peru.
hr5368-102.20	1	48	33	3	5	5	0	0	1	Withholds a specified amount of funds allocated for the Dominican Republic until the President reports to the Appropriations Committees on the steps taken by the Government of the Dominican Republic to improve respect for human rights of Haitian laborers engaged in the Dominican Republic's sugar cane harvesting industry.