	content	id-snippet	count_countries	mentions_countries
0	provides for the enforcement of all provisions of law that impose sanctions against countries engaged in gross violations of human rights and that support terrorism against iraq calls on the president to seek multilateral cooperation to   deny dangerous technologies to iraq and   induce iraq to respect internationally recognized human rights and to allow international humanitarian and human rights organizations to have access to iraq and kuwait prohibits as part of the sanctions against iraq   any sales to iraq under the arms export control act   the issuance of licenses for the export to iraq of items on the u s munitions list   exports to iraq of certain goods or technology listed under the export administration act of     the issuance of licenses of authorizations under the atomic energy act of   for the export to iraq of nuclear materials facilities and technology   u s support for loans or financial or technical assistance to iraq by international financial institutions   the provision of credits and other assistance to iraq through the commodity credit corporation and   the provision of assistance under the foreign assistance act of   and the arms export control act other than emergency medical and humanitarian assistance authorizes the president to waive any sanction within   days after certifying to the congress that   the iraqi government has demonstrated substantial improvement in respect for human rights   the iraqi government is not acquiring developing or manufacturing ballistic missiles or chemical biological or nuclear weapons or components for such weapons has forsworn the first use of such weapons and is taking steps to dispose of such weapons   the iraqi government does not support international terrorism   the iraqi government is in compliance with international law and   the president determines that such waiver is in u s national security interests requires the president to continue the trade embargo and other economic sanctions with respect to iraq and kuwait sets forth provisions concerning congressional notification with respect to the termination of sanctions prohibits any assistance made available pursuant to this act to carry out the foreign assistance act of   or the arms export control act to be provided to any country that is not in compliance with the united nations security council sanctions against iraq unless the president certifies to the congress that such assistance   is in the u s national interest   will directly benefit the needy people in such country or   will be humanitarian assistance for foreign nationals who have fled iraq and kuwait authorizes the president if the taking of such action would promote the effectiveness of economic sanctions against iraq to prohibit the importation into the united states of any products of a foreign country that has not prohibited the importation of iraqi products into its customs territory and the export of products to iraq prescribes civil and criminal penalties for violations of specified executive orders concerning sanctions against iraq calls for the immediate and unconditional withdrawal of iraqi forces from kuwait supports the efforts of the united nations security council and the imposition and enforcement of multilateral sanctions against iraq calls on u s allies and other countries to bring about an end to iraq s occupation of kuwait condemns iraq s human rights violations in kuwait directs the president to keep the congress fully informed and to consult with the congress with respect to current and anticipated events regarding iraq s invasion of kuwait permits the president to waive any sanction within   days after certifying to the congress that   there has been a fundamental change in the leadership of the iraqi government and   the iraqi government has provided assurances that it respects human rights will not acquire manufacture or use and will destroy chemical biological or nuclear weapons and ballistic missiles will not provide support for international terrorism and will comply with obligations under international law prohibits the use of funds appropriated by any act to approve the licensing for export of any supercomputer to any country that is assisting iraq in improving rocket technology or chemical biological or nuclear weapons capability directs the president to begin negotiations with governments with which the united states has bilateral supercomputer agreements on conditions restricting the transfer to iraq of supercomputer or associated technology requires the president to study and report to specified congressional committees on   the sale export and third party transfer or development of nuclear biological chemical and ballistic missile technology to or with iraq   iraq s offensive military capability and its effect on the middle east balance of power and   steps taken by other nations to curtail the export of goods services and technologies to iraq that might enhance iraq s nuclear biological chemical and ballistic missile capability directs the president to provide a complete accounting of international compliance with each of the united nations security council sanctions resolutions against iraq and to list each country that has provided any assistance to iraq and the amount and type of assistance in violation of each united nations resolution 	hr5114-101.1	44	 kuwait iraq
1	requires the delivery of excess defense articles to nato allies and major non nato allies on the southern and southeastern flank of nato to be given priority over the delivery of such articles to other countries prohibits six months after this act s enactment the expenditure of funds made available pursuant to this act to provide assistance to yugoslavia directs the secretary of the treasury to instruct the u s executive directors to international financial institutions to oppose any assistance to yugoslavia exempts from such prohibition assistance to support democratic parties or movements and emergency and humanitarian assistance makes such prohibition inapplicable if   all the individual republics of yugoslavia have held free and fair elections and are not engaged in a pattern of human rights violations or   the secretary of state certifies that yugoslavia is making significant strides toward complying with the helsinki accords and is encouraging any republic which has not held free and fair elections to do so 	hr5114-101.2	4	 yugoslavia
2	prohibits making available any esf or foreign military financing assistance for kenya unless the president reports to the congress that the kenyan government is taking steps to   charge and try or release all prisoners   cease physical abuse or mistreatment of prisoners   restore the independence of the judiciary and   restore freedoms of expression 	hr5114-101.3	2	 kenya
3	prohibits the obligation of funds for the european bank for reconstruction and development until the president reaches an agreement with the polish government or other creditors which accurately reflects the collectability of polish debts to the united states and adjusts the amount of debt and debt service payable to the united states subject to the following conditions   an imf agreement is in effect with respect to poland and it is the intent of the polish government to continue the program   the recent change of the polish government into a democracy is being maintained and   the polish government is seeking comparable treatment of public and private external debt 	hr5114-101.4	1	 poland
4	prohibits assistance to countries which fail to take steps to prevent illicit drugs from being sold to u s government personnel or from entering the united states illegally 	hr5114-101.5	0	None
5	requires agreements for the sale or provision of articles on the u s munitions list to expressly state that such articles will be provided only with the understanding that they will not be transferred to cyprus or used to further the severance or division of cyprus 	hr5114-101.6	2	 cyprus
6	limits the amount of military assistance for el salvador for fy   prohibits the provision of such assistance if the president reports to the congress that   the el salvadoran government has declined to participate in negotiations for a permanent settlement and cease fire to the armed conflict   the el salvadoran government has failed to support an active role for the united nations secretary general in mediating such settlement   the el salvadoran government has rejected a specified settlement plan   the el salvadoran government has failed to conduct an investigation into and prosecution of those responsible for the murders at the university of central america   the el salvadoran military and security forces are engaging in violent acts against civilians or are failing to control such activities by elements subject to their control or   the el salvadoran government has failed to seek and encourage a law enforcement service from outside el salvador to monitor el salvadoran investigators in their investigation into the murders at the university of central america provides for the resumption of such assistance pursuant to a law enacted by the congress withholds   percent of military assistance allocated for fy   releases such assistance only if   the farabundo marti national liberation front has declined to participate in settlement negotiations or has failed to support the secretary general s role in mediating such settlement   the fmln has rejected a specified settlement plan   the survival of the el salvadoran government is being jeopardized by fmln actions   proof exists that the fmln is continuing to acquire significant shipments of lethal military assistance from outside el salvador or   the fmln is engaging in violent acts against civilians or is failing to control such activities by elements subject to its control authorizes the expenditure of ten percent of the military assistance deposited in the demobilization and transition fund to carry out judicial reforms in el salvador if the president certifies to the congress that the el salvadoran government has made significant progress in establishing an independent civilian judiciary and prosecutorial and investigative system sets forth conditions for meeting the progress requirement prohibits u s assistance to el salvador if the elected head of the government is deposed by military coup or decree provides for the resumption of such assistance pursuant to a law enacted by the congress establishes the demobilization and transition fund to assist in monitoring a settlement of the conflict and in demobilizing combatants in such conflict and aiding their transition to peaceful pursuits makes amounts in the fund available only if the president notifies the congress that a permanent settlement of the conflict has been reached transfers withheld military assistance to the fund on the date of such notification or on september     if no notification has occurred 	hr5114-101.7	14	None
7	earmarks specified amounts of esf assistance for prohibits such funds from being provided to any country whose government engages in consistent human rights violations 	hr5114-101.8	0	None
8	prohibits any foreign military financing for zaire sudan liberia or somalia 	hr5114-101.9	3	somalia liberia sudan 
9	amends the foreign assistance act of   to require an additional section in the president s international narcotics control strategy report that   identifies the five countries that exported the largest amount of pseudoephedrine ephedrine and phenylpropanolamine   identifies the five countries that imported the largest amount of such chemicals and have the highest rate of diversion of such chemicals for the use in the illicit production of methamphetamine and   includes an economic analysis of the total worldwide production of such chemicals compared to the legitimate demand for such chemicals withholds   of the u s assistance allocated each fiscal year for countries so identified unless the country has either cooperated fully with the united states or has taken adequate steps on its own to achieve full compliance with established united nations goals and objectives unless the vital national interests of the united states prevent withholding such funds requires the secretary of state to submit to congress a comprehensive plan to address the diversion of chemicals to the illicit production of methamphetamine for each identified country for which the president has not submitted a certification of full cooperation 	hr3199-109.1	0	None
10	amends the federal criminal code to provide for the forfeiture of the assets of any person planning or perpetrating an act of international terrorism against any international organization or foreign government provides that where the property sought for forfeiture is located beyond the territorial boundaries of the united states an act in furtherance of such planning or perpetration must have occurred within u s jurisdiction sec 	hr3199-109.2	0	None
11	authorizes the president to deny u s entry to any alien who   is in the senior leadership of the government of belarus   is an immediate family member of such person or   through business dealings with senior government leadership derives significant financial benefit from policies or actions that undermine democratic institutions or impede belarus transition to democracy expresses the sense of congress that   no loan credit guarantee insurance financing or other similar financial assistance should be extended by any u s agency including the export import bank and the overseas private investment corporation to the government of belarus except for humanitarian goods and agricultural or medical products and   no funds available to the trade and development agency should be available for agency activities in or for belarus expresses the sense of congress that the president should block all property and property interests that on or after the date of the enactment of this act   are owned in whole or in part by the government of belarus or by any member or family member closely linked to senior government leadership or any person who through business dealings with senior government leadership derives significant financial benefit from policies or actions that undermine or injure democratic institutions or impede belarus transition to democracy and   are in the united states or in the possession or control of the u s government or of any u s financial institution including any branch or office located outside the united states states that activities prohibited by the blocking of such property interests should include   payments or transfers of property or anything of economic value by any u s person to the government of belarus or to any entity or person acting on its behalf or to any member of its senior leadership   the export or reexport to any entity owned controlled or operated by the government of belarus of any goods technology or services either by a u s person or involving the use of any air carrier or a vessel documented under u s law and   the performance by any u s person of any contract including a contract providing a loan or other financing in support of an industrial commercial or public utility operated controlled or owned by the government of belarus exempts from such prohibitions   assistance under sections   or   of this act or   medicine medical equipment food or other humanitarian assistance provided to belarus in response to a humanitarian crisis belarus democracy reauthorization act of   sec   amends the belarus democracy act of   to state that it is u s policy to   call for the immediate release of all political prisoners in belarus   support the aspirations of the people of the republic of belarus for democracy human rights the rule of law and to preserve their country s independence   support the growth of democratic movements and institutions in belarus   refuse to accept the results of the march   presidential elections in belarus and support new presidential elections   refuse to recognize any referendum that would affect belarus sovereignty and   work with other countries and international organizations to promote belarus integration into the european community of democracies sec   revises the activities which may be supported by assistance under this act including support for youth groups independent trade unions and entrepreneurs human rights defenders independent media democratic political parties and international exchanges extends authorization of appropriations through fy  for such purposes sec   includes television broadcasting within the scope of increased support and funding for u s government and surrogate broadcasting to belarus currently such support is limited to radio broadcasting sec   establishes specified economic and u s entry sanctions against belarus until the president certifies to the appropriate congressional committees that the government of belarus has made progress in meeting specified conditions respecting   release of political and religious prisoners and accounting for the disappearances of opposition leaders and journalists   cessation of political harassment   prosecution of senior government leaders for embezzlement of state assets and administration of fraudulent elections and   holding free presidential and parliamentary elections under independent supervision 	hr5948-109.1	0	None
12	 sec   prohibits bilateral assistance funds to any country which the president determines grants sanctuary from prosecution to any individual or group which has committed an act of international terrorism or otherwise supports such activities authorizes a waiver of this prohibition by the president for national security and humanitarian reasons requiring notification to the committees on appropriations sec 	hjres2-108.1	0	None
13	  prohibits the provision of funds to any foreign government that provides lethal military equipment to a country that the secretary of state has determined has a terrorist government unless the president determines that the furnishing of such assistance is in the u s national interest 	hjres2-108.2	0	None
14	 sec   bars assistance to any country that is not in compliance with the united nations un sanctions against iraq unless the president certifies to the congress that such assistance   is in the u s national interest   will directly benefit the needy people in that country or   will be humanitarian assistance for foreign nationals who have fled iraq and kuwait 	hjres2-108.3	3	 kuwait iraq
15	 sec   directs the secretary of the treasury to instruct the u s executive director of each international financial institution to vote against the extension of any loans to the government of zimbabwe except to meet basic human needs or promote democracy unless the secretary of state certifies to the committees on appropriations that the rule of law has been restored there including respect for ownership and title to property and freedom of speech and association 	hjres2-108.4	0	None
16	 sec   prohibits the use of foreign military financing and imet funds for nigeria until the president certifies to the committees on appropriations that the nigerian minister of defense the chief of the army staff and the minister of state for defense army are suspending from the armed forces those members against whom there is evidence of gross violations of human rights in benue state in october   and the government of nigeria and the nigerian armed forces are taking measures to bring them to justice authorizes the president to waive such requirements if it is determined to be in the national security interests of the united states sec   prohibits the use of funds for   the export of nuclear equipment fuel or technology except for nuclear safety purposes 	hjres2-108.5	4	 nigeria
17	 sec   prohibits the use of funds for   direct assistance or reparations to cuba iraq except humanitarian and relief assistance if it is in the u s national interest libya north korea iran sudan or syria 	hjres2-108.6	5	syria  sudan libya cuba iraq
18	 sec   prohibits the use of funds for   assistance excluding assistance to promote democracy to the government of any country whose duly elected head of government is deposed by military coup or decree 	hjres2-108.7	0	None
19	 sec   prohibits the use of funds for   assistance to the government of any country in default in excess of a year on payments on a u s loan unless the president determines such assistance is in the national interest 	hjres2-108.8	0	None
20	  prohibits funds appropriated under this act or appropriated under prior acts for foreign operations export financing and related programs from being made available to kedo authorizes the president to waive such requirement and provide specified amounts to kedo for administrative expenses if it is determined to be in the national security interests of the united states 	hjres2-108.9	0	None
21	 sec   prohibits the obligation of any appropriations for the plo for the west bank and gaza unless the president has exercised certain authorities to suspend prohibitions on assistance to the plo 	hjres2-108.10	0	None
22	 sec   prohibits the obligation of appropriations to create in jerusalem a new u s agency office for the purpose of conducting u s business with the palestinian authority over gaza and jericho or any successor palestinian governing entity provided for in the israel plo declaration of principles sec   	hjres2-108.11	1	 israel
23	prohibits the obligation of any appropriations for the plo unless the president certifies to congress that it is in the u s national security interests 	hjres2-108.12	0	None
24	 sec   prohibits funds appropriated by this act from being used to support a palestinian state unless the secretary of state certifies to the appropriate congressional committees that   a new leadership of a palestinian governing entity has been democratically elected   the governing entity of a new palestinian state has demonstrated a commitment to peace with israel and is taking appropriate measures to counter terrorism in the west bank and gaza and   the palestinian authority is working with other countries in the region to establish a lasting peace in the middle east that will enable israel and an independent palestinian state to coexist authorizes assistance intended to help reform the palestinian authority and affiliated institutions or a newly elected governing entity so it can meet the requirements of this section authorizes the president to waive such requirements if it is in the national security interests of the united states 	hjres2-108.13	2	 israel
25	 sec   makes foreign military financing program funds available to indonesia and authorizes the issuance of licenses for the export of lethal defense articles for the indonesian armed forces if the president certifies to the appropriate congressional committees that   the indonesia minister of defense is suspending from the armed forces those members who have committed gross violations of human rights or who have aided or abetted militia groups   the indonesian government is prosecuting such individuals   the indonesian armed forces are cooperating with civilian prosecutors and judicial authorities in such cases and   the minister of defense is making publicly available audits of receipts and expenditures of the indonesian armed forces 	hjres2-108.14	6	 indonesia
26	 sec   bars the use of funds appropriated by this act for assistance for the government of any country for which the secretary of state has determined there is credible evidence that it has aided or abetted within the previous six months in the illicit distribution transportation or sale of diamonds mined in sierra leone 	hjres2-108.15	1	None
27	 sec   makes certain foreign assistance funds that were available for the united nations population fund unfpa and an equal amount in this act available for the unfpa if the president determines that the unfpa no longer supports or participates in the management of a program of coercive abortion or involuntary sterilization 	hjres2-108.16	0	None
28	prohibits such funds made available to the unfpa to be used in china conditions the availability of such funds to unfpa on specified requirements 	hjres2-108.17	1	 china
29	bars the availability of appropriated funds or unobligated balances from prior appropriations to any organization or program which supports coercive abortions or involuntary sterilizations 	hjres2-108.18	0	None
30	authorizes funds to be made available in order to reduce reliance on abortion in developing nations to qualified voluntary family planning projects that   offer directly or through referral or offer information about access to a broad range of family planning methods and services and   meet specified requirements sec   prohibits the use of development assistance funds for abortions or involuntary sterilizations as methods of family planning to motivate or coerce any person to practice abortions or to provide any financial incentive to undergo sterilization 	hjres2-108.19	0	None
31	 sec   prohibits the use of funds to provide   assistance for any project that contributes to the violation of internationally recognized workers rights in the recipient country 	hjres2-108.20	0	None
32	 sec   bars the use of funds made available by this act for assistance except humanitarian assistance and assistance for democratization and the secretary of the treasury shall instruct the u s executive directors of the international financial institutions to vote against any new project involving the extension of financial or technical assistance to any country bosnia and herzegovina croatia and serbia entity or municipality that has failed to take necessary steps to implement its international legal obligations to apprehend and transfer to the international criminal tribunal for the former yugoslavia all persons in their territory who have been indicted by the tribunal and to otherwise cooperate with it 	hjres2-108.21	3	 croatia yugoslavia serbia
33	 sec   makes funds appropriated by this act available after june     for assistance for serbia if the president determines and certifies to the committees on appropriations that the government of the federal republic of yugoslavia or a government of a successor state is   cooperating with the international criminal tribunal for yugoslavia including regarding the surrender and transfer of indictees or assistance in their apprehension   taking steps consistent with the dayton accords to end serbian financial political security and other support which has served to maintain separate republika srpska institutions and   taking steps to implement policies which reflect a respect for minority rights and the rule of law including the release of political prisoners from serbian jails and prisons 	hjres2-108.22	5	 yugoslavia serbia
34	 sec   directs the secretary of the treasury to instruct the u s executive directors at specified international financial institutions to oppose any loan grant strategy or policy that would require user fees or service charges on poor people for primary education or primary health care including prevention and treatment efforts for hiv aids malaria tuberculosis and infant child and maternal well being in connection with the institution s lending programs 	hjres2-108.23	0	None
35	authorizes the president to withhold funds for economic revitalization programs in bosnia and herzegovina if the president certifies to the committees on appropriations that   the federation of bosnia and herzegovina has not complied with article iii of annex   a of the general framework agreement for peace in bosnia and herzegovina concerning the withdrawal of foreign forces and   intelligence cooperation on training investigations and related activities between state sponsors of terrorism and terrorist organizations and bosnian officials has not been terminated 	hjres2-108.24	0	None
36	withholds   percent of u s assistance allocated to the government of the russian federation until the president certifies to specified congressional committees that it   has terminated arrangements to provide iran with technical expertise training technology or equipment to develop a nuclear reactor or ballistic missile capability and   is providing full access to international nongovernmental organizations providing humanitarian relief to refugees and internally displaced persons in chechnya 	hjres2-108.25	0	None
37	prohibits foreign military financing for sudan liberia and guatemala 	hjres2-108.26	3	 liberia sudan guatemala
38	 sec   prohibits the use of funds made available under this act by opic and the export import bank of the united states to insure reinsure guarantee finance or extend credit in any project involving the mining polishing or other process or sale of diamonds in a country that fails to meet certain requirements with respect to the export and import of rough diamonds 	hjres2-108.27	0	None
39	 sec   prohibits funds appropriated by this act from being made available to provide assistance for a foreign country under a new bilateral agreement governing the terms under which such assistance is to be provided unless such agreement includes a provision stating that such assistance shall be exempt from taxation or reimbursed by the foreign government requires the secretary of state to negotiate amendments to existing bilateral agreements to conform them to such requirement sets forth certain requirements with respect to reimbursement of foreign taxes to the united states including the withholding of u s assistance in cases where a country does not reimburse the united states 	hjres2-108.28	0	None
40	  makes funds appropriated by this act available for assistance for the colombian armed forces caf to support the colombian government s unified campaign against narcotics trafficking and against paramilitary and guerrilla organizations designated as terrorist organizations allows the obligation of up to   percent of such funds before the secretary of state has certified to the appropriate congressional committees that the caf and the colombian government are taking specified steps to clear the caf of and bring to justice those members who have committed gross violations of human rights including extra judicial killings withholds the obligation of up to     percent of such assistance until the secretary of state certifies to the appropriate congressional committees that such steps are being taken and the caf are severing links with paramilitary organizations and apprehending their leaders permits obligation of the balance of such funds upon certification that the caf are continuing to meet these conditions 	hjres2-108.29	3	None
41	 sec   prohibits the secretary of state from issuing a visa to any alien who the secretary determines has willfully provided or conspired to provide support to the revolutionary armed forces of colombia farc the national liberation army eln or the united self defense forces of colombia auc 	hjres2-108.30	2	 colombia
42	 sec   withholds assistance to a foreign country in an amount equal to   percent of the total unpaid parking fines and penalties owed by the country to the district of columbia and new york city new york as of september     	hjres2-108.31	0	None
43	prohibits the united states from paying any voluntary contribution to the un including the un development program 	hjres2-108.32	0	None
44	 sec   prohibits the use of funds for the security forces of a foreign country if the secretary of state believes they have committed gross violations of human rights unless the secretary reports to the committees on appropriations that such country is taking steps to bring the responsible persons to justice 	hjres2-108.33	0	None
